Platform,Views,Likes,Shares,Comments,Engagement_Level
YouTube,58134,1475,1105,1248,Medium
Twitter,21491,1860,82,882,High
Instagram,2341,100,15,189,High
Instagram,45623,6480,1198,1927,High
YouTube,91327,6918,1288,6970,High
YouTube,1338,261,56,22,High
YouTube,72431,9545,124,5679,High
Twitter,13254,2203,259,364,High
Instagram,52860,1859,926,3665,High
Instagram,12344,2145,24,725,High
YouTube,2750,509,19,256,High
Twitter,55756,5717,1185,2330,High
Twitter,68957,8632,1734,778,High
YouTube,59053,9171,1228,402,High
YouTube,71855,3105,1941,6003,High
YouTube,16896,1782,509,926,High
YouTube,56761,4867,84,4464,High
Instagram,63552,2402,1508,1733,Medium
Instagram,78454,6263,3782,2964,High
YouTube,91600,2102,2421,719,Medium
Instagram,28935,431,989,2787,High
YouTube,38641,1378,629,2644,High
YouTube,30711,5926,1195,2876,High
YouTube,71342,8162,2773,2156,High
Instagram,13182,2550,349,831,High
Instagram,88833,8188,4337,6170,High
YouTube,57276,3966,409,2014,Medium
Instagram,20541,2180,37,1757,High
Instagram,95457,8925,3697,9066,High
YouTube,83310,2505,3378,7419,High
Instagram,45813,6036,315,3445,High
YouTube,38198,1949,535,1197,Medium
YouTube,9820,1254,18,311,High
Twitter,25070,3347,385,2419,High
Twitter,70768,2751,2751,422,Medium
Twitter,12122,262,319,885,High
YouTube,81559,12914,1472,5879,High
YouTube,74543,7257,1432,4782,High
Instagram,84441,1777,90,8364,High
Instagram,42786,8515,671,1481,High
YouTube,95934,2012,3134,3578,Medium
Instagram,7737,1099,377,96,High
YouTube,37062,7297,1575,1744,High
Twitter,55237,3062,119,1646,Medium
YouTube,52571,1946,2367,1977,Medium
Instagram,26510,876,1043,2234,High
YouTube,20426,1381,801,1917,High
Instagram,38265,1117,897,866,Medium
Instagram,18850,2667,386,761,High
YouTube,67150,1466,1063,6259,High
Twitter,88312,9430,372,960,High
Instagram,90613,18065,1103,1248,High
Twitter,75910,12498,993,1553,High
Twitter,53375,6772,1319,3284,High
Instagram,36435,2484,1370,703,High
Twitter,97443,12525,2359,9448,High
YouTube,58132,6402,222,2757,High
YouTube,79945,7271,3831,4208,High
YouTube,83050,2893,3919,2361,Medium
YouTube,96402,17203,3805,4795,High
YouTube,3983,380,197,270,High
YouTube,98241,4615,2719,7501,High
Twitter,21662,1730,1043,1659,High
YouTube,24510,2173,115,1468,High
YouTube,79187,13242,1498,7199,High
Instagram,41998,6273,505,3471,High
YouTube,57846,9033,612,4449,High
Twitter,95071,1149,750,977,Low
YouTube,7640,680,240,43,High
Twitter,45547,4620,1789,1146,High
Instagram,55620,759,1631,3784,Medium
YouTube,16317,968,133,718,Medium
YouTube,8564,1322,348,370,High
Twitter,28345,1021,911,2523,High
Instagram,95223,10637,1906,8577,High
Instagram,80273,4084,2731,7334,High
Instagram,75859,933,1041,2641,Medium
YouTube,81765,4564,1464,5776,High
YouTube,75038,14663,3448,2311,High
YouTube,53393,8665,813,1233,High
Twitter,67081,12900,1611,1512,High
Instagram,30430,3124,1357,1141,High
YouTube,76532,2361,2730,3508,Medium
YouTube,28788,3285,116,2416,High
YouTube,96505,9296,793,1581,High
YouTube,49543,8443,68,3706,High
Instagram,14919,427,476,827,Medium
Instagram,70346,7229,1613,2276,High
Twitter,97122,3740,736,5032,Medium
Instagram,40974,2937,1964,1372,High
YouTube,17371,2607,468,1070,High
Instagram,46084,4628,592,2129,High
Instagram,30629,2493,781,631,High
Instagram,52184,4433,1789,838,High
Instagram,62916,6121,297,3582,High
Instagram,74972,11932,1084,6802,High
Instagram,63187,11341,2561,2380,High
Instagram,13984,2678,328,1043,High
YouTube,34039,5429,945,2300,High
YouTube,86431,6043,1919,8081,High
YouTube,84691,11919,266,7028,High
Instagram,59606,5551,543,3506,High
YouTube,11616,678,265,783,High
Instagram,51072,8670,574,4614,High
Twitter,25574,442,88,1098,Medium
YouTube,4430,803,187,159,High
Instagram,13676,1335,671,82,High
Instagram,11816,1548,471,986,High
YouTube,33733,4563,1444,2735,High
YouTube,86680,15608,1114,1293,High
YouTube,3050,399,146,182,High
YouTube,34933,4424,372,1714,High
Twitter,25951,588,1235,422,Medium
Twitter,33413,3625,1662,3279,High
Instagram,35801,1379,1284,909,Medium
Twitter,56619,8499,2778,644,High
Twitter,33913,3639,980,2086,High
YouTube,41600,5792,570,3128,High
Twitter,58775,1053,1317,475,Low
Instagram,91816,2397,2762,6204,High
Twitter,91093,13308,417,5061,High
Twitter,36400,862,1146,539,Medium
YouTube,5494,129,269,117,Medium
YouTube,81688,1004,842,4816,Medium
YouTube,90431,17338,3602,2998,High
Instagram,75691,11363,3442,7125,High
Twitter,98419,7589,4649,8147,High
Twitter,44001,2919,2114,4331,High
YouTube,68364,5225,1815,2028,High
Instagram,46028,7234,2250,4470,High
Instagram,98659,13384,3759,4535,High
YouTube,38573,1743,344,1466,Medium
YouTube,1806,77,44,17,Medium
YouTube,57638,1653,2086,577,Medium
Twitter,30757,4166,403,2175,High
YouTube,35636,5531,1154,1728,High
Instagram,81097,4894,2730,2150,High
Instagram,49280,688,442,3120,Medium
YouTube,25262,647,724,733,Medium
Twitter,81435,15789,3160,4875,High
Twitter,63211,4180,1608,2473,High
YouTube,55842,8719,88,4648,High
Instagram,57979,7461,83,4810,High
YouTube,82470,6809,1525,4152,High
YouTube,39197,1923,1818,1502,High
YouTube,42844,1416,522,1689,Medium
Instagram,65754,8341,2109,5361,High
Instagram,35157,5525,417,1271,High
YouTube,78129,10339,1309,1942,High
YouTube,41042,4545,1746,535,High
Twitter,62665,1126,2300,3091,Medium
YouTube,83856,16269,475,4260,High
YouTube,28376,4589,624,2408,High
Instagram,56554,3711,137,1471,Medium
Twitter,15199,2981,373,626,High
YouTube,82412,10248,2757,6741,High
Instagram,51948,6268,353,4324,High
Instagram,74781,11376,1133,3106,High
YouTube,73750,12112,1511,3585,High
Instagram,67262,9062,3097,2274,High
YouTube,47600,1634,2364,4455,High
Instagram,77898,5785,249,1267,Medium
Instagram,63483,11829,2430,5948,High
Instagram,19297,1016,370,1350,High
YouTube,31448,2538,636,1745,High
Twitter,27172,2502,1031,220,High
YouTube,43874,4101,2018,2201,High
YouTube,8657,1094,412,378,High
YouTube,85386,16153,2500,1734,High
Instagram,26425,1472,488,1779,High
Instagram,27685,915,1096,2692,High
YouTube,25578,1215,340,1493,Medium
Instagram,29831,5325,854,2174,High
YouTube,8906,1181,165,102,High
Instagram,62413,4014,2070,2788,High
YouTube,55028,9081,703,883,High
Instagram,8287,1439,86,523,High
YouTube,34660,5921,1594,3263,High
Twitter,76758,14169,459,5209,High
YouTube,61504,3562,1586,756,Medium
YouTube,60720,9317,717,2349,High
YouTube,35701,3480,103,2046,High
Twitter,84300,14329,233,3650,High
Twitter,18674,2771,179,1572,High
YouTube,84560,13320,3675,6967,High
Instagram,24874,3349,369,1570,High
Twitter,44642,1951,2123,1807,High
Instagram,98820,11221,2915,2891,High
Instagram,66160,13039,1481,996,High
YouTube,18602,3499,547,720,High
YouTube,89801,1634,2363,3973,Medium
Twitter,26931,1112,1028,1863,High
Twitter,95377,3340,1415,6440,Medium
Instagram,30192,4466,552,352,High
YouTube,47542,7862,2130,2022,High
YouTube,43520,2200,2061,969,High
Instagram,65772,6979,2942,1308,High
Twitter,59762,10143,1288,4995,High
Twitter,51106,7626,2005,459,High
Instagram,82121,9281,1998,3680,High
Instagram,26559,3244,674,557,High
YouTube,34742,3703,383,3075,High
YouTube,70669,4701,2117,4093,High
Twitter,81199,9529,821,2190,High
Instagram,22754,3205,392,1199,High
YouTube,4972,874,213,370,High
YouTube,71831,9402,800,6897,High
Instagram,42873,6628,192,1112,High
YouTube,95661,3866,419,8531,High
YouTube,10903,1065,513,1022,High
Instagram,4020,47,103,370,High
Instagram,42755,2431,900,2794,High
Instagram,86956,12871,3541,5637,High
YouTube,87988,17460,3691,3810,High
Instagram,46648,1345,805,3567,High
YouTube,10516,907,367,583,High
YouTube,3396,550,131,235,High
Instagram,85082,4149,2814,3888,High
Instagram,20129,2324,169,1499,High
Twitter,2591,386,113,215,High
Instagram,12303,1562,337,232,High
Instagram,31561,1443,468,2655,High
YouTube,72719,5637,1587,4096,High
YouTube,93108,14796,264,7936,High
YouTube,87231,10057,633,4010,High
YouTube,8314,91,320,340,Medium
Twitter,20623,3188,20,1895,High
YouTube,68675,1147,1470,1982,Medium
Twitter,97826,14839,2602,8334,High
Instagram,66082,3203,242,3368,Medium
Instagram,84624,16250,4119,4556,High
Instagram,34130,2727,412,1170,High
Instagram,52756,3804,839,3135,High
Instagram,98624,3776,1567,3540,Medium
YouTube,27292,1857,335,238,Medium
Instagram,87206,15397,93,2689,High
YouTube,70274,14005,2581,393,High
YouTube,3469,277,167,339,High
Instagram,54947,5232,658,5315,High
YouTube,23534,3464,788,1001,High
Twitter,64620,11526,2413,4794,High
Twitter,49874,6118,2123,1887,High
Twitter,50708,4279,1100,3486,High
YouTube,75553,6678,1197,6158,High
YouTube,69344,9858,1174,6583,High
